,removed_nodes,percent_removed,global_cascade_percent,avg_global_cascade_size
0,0,0.0,0.10019036168720569,10935.056
1,50,0.0006149607655031609,0.09431293030274451,10271.178
2,100,0.0012299215310063217,0.09080177971488242,10004.26
3,150,0.0018448822965094827,0.08074935400516796,9639.988
4,200,0.0024598430620126435,0.07594167679222358,9172.235
5,250,0.0030748038275158047,0.06746272684341902,8811.962
6,300,0.0036897645930189654,0.06191183754333829,8434.458
7,350,0.004304725358522127,0.06117704637220115,8127.075
8,400,0.004919686124025287,0.05365670440521543,7811.024
9,450,0.005534646889528448,0.05005506056662329,7481.471
10,500,0.006149607655031609,0.047272383473574736,7171.998
11,550,0.00676456842053477,0.042598509052183174,6913.694
12,600,0.007379529186037931,0.03754458419373005,6622.12
13,650,0.007994489951541091,0.03544465317406869,6329.387
14,700,0.008609450717044253,0.03175207976122436,6030.658
15,750,0.009224411482547414,0.03313782019418763,5833.191
16,800,0.009839372248050574,0.02941436009059623,5507.71
17,850,0.010454333013553736,0.026829791800815624,5237.991
18,900,0.011069293779056896,0.024014216416118343,5063.249
19,950,0.011684254544560057,0.01955645949857238,4851.721
20,1000,0.012299215310063219,0.017004778342714303,4722.336
21,1050,0.012914176075566379,0.017522340984755563,4719.281
22,1100,0.01352913684106954,0.017668156681213448,4721.875
23,1150,0.014144097606572701,0.0177292390610595,4736.335
24,1200,0.014759058372075862,0.017061643718755865,4731.747
25,1250,0.015374019137579022,0.01749720044792833,4738.682
26,1300,0.015988979903082182,0.017739932588256166,4730.816
27,1350,0.016603940668585344,0.01813401033638589,4718.801
28,1400,0.017218901434088506,0.017130034088767836,4736.221
29,1450,0.017833862199591665,0.018242848803269117,4736.003
30,1500,0.018448822965094827,0.019850722566301413,4734.457
31,1550,0.01906378373059799,0.017402199638034247,4735.013
32,1600,0.019678744496101148,0.017469079728879882,4731.19
33,1650,0.02029370526160431,0.01710951802487724,4724.252
34,1700,0.020908666027107472,0.01799467357662132,4738.104
35,1750,0.02152362679261063,0.018116270222286637,4719.845
36,1800,0.022138587558113793,0.016220337058604078,4730.027
37,1850,0.022753548323616955,0.017419478460814885,4734.217
38,1900,0.023368509089120113,0.01702910273657681,4723.026
39,1950,0.023983469854623275,0.017310921460349335,4727.368
40,2000,0.024598430620126437,0.01745749100939213,4741.679
41,2050,0.025213391385629596,0.016927920912753497,4724.434
42,2100,0.025828352151132758,0.018447801944398323,4740.167
43,2150,0.02644331291663592,0.017987552613591393,4701.094
44,2200,0.02705827368213908,0.01821161901293025,4725.753
45,2250,0.02767323444764224,0.01749107954942979,4730.535
46,2300,0.028288195213145403,0.01707854422489027,4731.885
47,2350,0.02890315597864856,0.017501793933878223,4740.02
48,2400,0.029518116744151723,0.018032313906520485,4728.032
49,2450,0.030133077509654885,0.01654670306941342,4756.674
50,2500,0.030748038275158044,0.017719500310091254,4738.881
51,2550,0.031362999040661206,0.017389792191983305,4741.64
52,2600,0.031977959806164365,0.01783548548191482,4713.672
53,2650,0.03259292057166753,0.016909315341821808,4718.841
54,2700,0.03320788133717069,0.017596959245442387,4721.095
55,2750,0.03382284210267385,0.018699278207861176,4717.621
56,2800,0.03443780286817701,0.01734755833116489,4699.03
57,2850,0.03505276363368017,0.017785682525566917,4693.015
58,2900,0.03566772439918333,0.017523569200574775,4719.886
59,2950,0.036282685164686496,0.017198383351964917,4725.818
60,3000,0.036897645930189654,0.017399171799422346,4725.896
61,3050,0.03751260669569281,0.01786352268667381,4725.833
62,3100,0.03812756746119598,0.01697101350892675,4712.415
63,3150,0.03874252822669914,0.01737257218303742,4744.697
64,3200,0.039357488992202296,0.018238523409144794,4725.859
65,3250,0.03997244975770546,0.018249840313897252,4733.136
66,3300,0.04058741052320862,0.017334327168090972,4752.792
67,3350,0.04120237128871178,0.01766628389718223,4727.119
68,3400,0.041817332054214944,0.017729553392550043,4715.814
69,3450,0.0424322928197181,0.017600056320180225,4741.014
70,3500,0.04304725358522126,0.018223234624145785,4732.505
71,3550,0.043662214350724426,0.017062517062517064,4723.804
72,3600,0.044277175116227585,0.01751374829240954,4751.417
73,3650,0.044892135881730744,0.0175140550291609,4732.24
74,3700,0.04550709664723391,0.017536783403188188,4733.908
75,3750,0.04612205741273707,0.01705233361185478,4744.323
76,3800,0.046737018178240226,0.017286981174477502,4718.01
77,3850,0.04735197894374339,0.018036216723180145,4733.593
78,3900,0.04796693970924655,0.017910233907654834,4733.754
79,3950,0.04858190047474971,0.018003096532603607,4716.151
80,4000,0.049196861240252875,0.017349966167565973,4744.696
81,4050,0.04981182200575603,0.01763792860166502,4740.386
